epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.61670154;1.1945662499281673;0.001;0.9770658;0.05898452990569347
1;0.9703165;0.08561757142496221;0.001;0.9910533;0.023163012378225257
2;0.9882991;0.03545554658238128;0.001;0.99738723;0.007866298927663303
3;0.99378;0.018837374444050235;0.001;0.9977303;0.007651623649703158
4;0.9953196;0.01617587954343909;0.001;0.9978359;0.005284807397544375
5;0.9968592;0.012839855043274206;0.001;0.99957776;0.001219093468542771
6;0.9973519;0.010302390330865123;0.001;0.9987068;0.004786077798255204
7;0.9978446;0.008624004920000402;0.001;0.9997625;0.0008086207874215224
8;0.997783;0.009759416716538754;0.001;0.99955136;0.0011251932287081547
9;0.9987683;0.003930873626930044;0.001;0.9996305;0.0012253554190999826
10;0.999261;0.0033874752235794497;0.001;0.99970967;0.0008877455678985119
11;0.9984604;0.006279047087102409;0.001;0.9998153;0.0005815326764369448
12;0.99907625;0.0019068840096530713;0.001;0.99986804;0.00030540629320374897
13;0.9991994;0.002616967760216888;0.001;0.9993666;0.002491697510474578
14;0.9991378;0.0025579450135559956;0.001;0.9997889;0.0005255101233577689
15;0.99956894;0.0012101344063718958;0.001;0.9996041;0.0010437174703083224
16;0.99704397;0.01326182363813074;0.001;0.99984163;0.0006746197914817418
17;0.99858356;0.004700114854857809;0.001;0.9997889;0.0006707840314450402
18;0.9993226;0.003143471812579654;0.001;0.9997889;0.0005711075629632541
19;0.99956894;0.0014873352535661065;0.001;0.99992085;0.0003106646291128986
20;0.9996305;0.001002863433585219;0.001;0.9988388;0.006097149703065054
21;0.99944574;0.0016221750914204068;0.001;0.99989444;0.0003093352122657776
22;0.9995073;0.0016292197033723034;0.001;0.9991027;0.0026705628957751897
23;0.99938416;0.0025074869909747373;0.001;0.9994194;0.0015325122092551277
24;0.9991994;0.0029893928879838353;0.001;0.99952495;0.0012265519082592647
25;0.9988299;0.004000465786746565;0.001;0.9998153;0.0008152103131541807
26;0.99907625;0.0040410228195274555;0.001;0.99931383;0.0019088362807403053
27;0.9996305;0.0010563783130762242;0.001;0.9997889;0.0006784036748000536
28;0.9996305;0.0012598676007880341;0.001;0.99992085;0.00019791789550542446
29;0.9996305;0.0009032052291819712;0.001;0.99899715;0.004772397972494061
30;0.9998152;0.0004711988334231763;0.001;0.99984163;0.000600934002857681
31;0.9988915;0.0045016983231604395;0.001;0.99984163;0.000390145536452065
32;0.9998152;0.0007281119361422052;0.001;0.9990763;0.004909194446031899
33;0.99975365;0.0009699464949153346;0.001;0.9997361;0.000757184289097959
34;0.99987686;0.0003902441772893798;0.001;0.99984163;0.0004312052073038475
35;0.9998152;0.0002999644022882599;0.001;0.9998153;0.0006719497916915536
36;0.9978446;0.00877193708322355;0.001;0.99860126;0.004848164637923168
37;0.99858356;0.004214359272928835;0.001;0.9998153;0.0006902507720158164
38;0.9995073;0.001993921030207273;0.00090000004;0.9996833;0.0010022785527387269
39;0.9988299;0.004196678528600852;0.00090000004;0.99894434;0.004653854866905062
40;0.99907625;0.003568795260751872;0.00090000004;0.99989444;0.0003931530644756838
41;0.9999384;0.0004362344809148766;0.00090000004;0.99986804;0.0005234262345349696
42;0.9999384;0.00036480110154693806;0.00090000004;0.99986804;0.00043324487747692624
43;0.9998152;0.0003527826334075624;0.00090000004;0.99984163;0.0005870027905475135
44;0.99975365;0.0005424228527331034;0.00090000004;0.99989444;0.00042045629098056596
45;0.9999384;0.00020725961516889494;0.00090000004;0.9999472;0.00027513721517141503
46;0.99987686;0.0002839051064069437;0.00090000004;0.9999472;0.0002945597154400113
47;1.0;9.070412860222161e-05;0.00090000004;0.9999472;0.00026051188725086647
48;0.9999384;0.00015319230462391086;0.00090000004;0.99992085;0.0002380349801645037
49;0.9999384;7.880219590533987e-05;0.00090000004;0.9999472;0.0001840142520759389
50;0.9999384;0.00012709418914911639;0.00090000004;0.99992085;0.00033811726526335103
51;1.0;1.3689358588195974e-05;0.00090000004;0.9999472;0.00016422941454214454
52;1.0;5.490136642433318e-05;0.00090000004;0.9999472;0.00018176943585902926
53;0.99987686;0.0001568769844377052;0.00090000004;0.9999472;0.0001517777826901354
54;0.9999384;0.0002902160167106786;0.00090000004;0.99986804;0.000549255273376749
55;0.9999384;0.0002084865570513378;0.00090000004;0.9997625;0.0015614617202670488
56;0.99987686;0.0006885932523603495;0.00090000004;0.99986804;0.0004425486922576302
57;1.0;7.537927971294844e-05;0.00090000004;0.99989444;0.00033421284046463237
58;0.99944574;0.002976446056815313;0.00090000004;0.99955136;0.0022752550109365745
59;0.9991994;0.002541658494429292;0.00090000004;0.99957776;0.0016124931830900672
60;0.9991994;0.004286900887810393;0.00090000004;0.99984163;0.00035715644687354627
61;0.99956894;0.0024115468671814435;0.00090000004;0.99989444;0.00019715030470213415
62;1.0;0.00018971848232142137;0.00090000004;0.99992085;0.0001899807537610181
63;0.99956894;0.0023525201019943295;0.00081000006;0.9994194;0.0019391584977976226
64;0.9995073;0.0027214997969527968;0.00081000006;0.9994194;0.0023381644540255435
65;0.9988915;0.004440610894025047;0.00081000006;0.99989444;0.00048694807281649195
66;0.9990147;0.0072105173903282;0.00081000006;0.99986804;0.0004945999426599335
67;0.9991994;0.002826703551639962;0.00081000006;0.99984163;0.00046883130997751204
68;1.0;0.00012595784293364153;0.00081000006;0.99986804;0.00031352292467907403
69;0.9999384;0.00036891498511504534;0.00081000006;0.9999472;8.321898964424545e-05
70;0.9999384;0.00018183155419882892;0.00081000006;0.9999736;0.00011414977454780524
71;0.9999384;8.260358887326898e-05;0.00081000006;0.9999736;0.00010916998075619747
72;0.9998152;0.00037973893693011565;0.00081000006;0.9999736;7.89654397065287e-05
73;0.9999384;0.00010529369488292809;0.00081000006;0.9997889;0.0007293493347569924
74;0.99987686;0.0004113414720459759;0.00081000006;0.9999472;0.0002790675865748596
75;0.99975365;0.002141443542255098;0.00081000006;0.9999472;0.0001731372982688134
76;0.9998152;0.0011014976263394305;0.00081000006;0.9997625;0.0007534978976775783
77;1.0;0.00013674909131488358;0.00081000006;0.99986804;0.0005859541997332718
78;0.9999384;0.00010966964384857772;0.00081000006;0.9999472;0.0002749735438718984
79;0.9999384;0.00019421833293639668;0.00081000006;0.9999472;0.00024739672077245695
80;0.9999384;0.00019005066249111504;0.00081000006;0.99992085;0.0004102871332920881
81;0.99987686;0.0011031094285092254;0.00081000006;0.99989444;0.0003687771430685114
82;1.0;0.00010070708156506881;0.00081000006;0.99992085;0.00020353160742004643
83;1.0;1.539073455047494e-05;0.00081000006;0.9999472;0.00019532336497437964
84;1.0;2.0659257235696075e-05;0.00081000006;0.99992085;0.00019857374266706688
85;1.0;7.599621414967508e-05;0.00081000006;0.9999472;0.00029288273885252523
86;1.0;2.3359845925472646e-05;0.00081000006;0.99992085;0.0003786400674708888
87;0.99956894;0.002553622915364326;0.00081000006;0.99984163;0.000807276001506303
88;0.9990147;0.005360251148228491;0.00081000006;0.9996305;0.0013549556191599023
89;0.9998152;0.00032097108897343786;0.00081000006;0.9999472;0.00035371911852552436
90;0.99987686;0.00104485274994072;0.00081000006;0.9999472;0.0002522851205723572
91;0.99987686;0.0005433005856592112;0.00081000006;0.9997625;0.0006639570659686867
92;0.9996305;0.002439009956551343;0.00081000006;0.99989444;0.0004530556721309344
93;0.9998152;0.0012475534357579763;0.00081000006;0.9999472;0.00010185531252873601
94;0.99975365;0.0010816651437724433;0.00081000006;0.9997361;0.0009130142991566124
95;0.9998152;0.0008059996004277113;0.00081000006;0.9999472;0.00014344916331033062
96;0.9999384;0.00019972333703799803;0.0007290001;0.99989444;0.00039510302727485853
