epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.6933949;0.9723069160942668;0.001;0.9761916;0.07077169892099942
1;0.9674827;0.0990110687825476;0.001;0.9939498;0.019084322281249257
2;0.98762125;0.043159177753446284;0.001;0.99667466;0.009630047828550923
3;0.9910393;0.03075839836503149;0.001;0.9970211;0.01074448560287056
4;0.9948268;0.01771801804716099;0.001;0.9990763;0.0031532435308031788
5;0.997321;0.009568955320907933;0.001;0.99570477;0.014699169104200188
6;0.99454963;0.02157902061232682;0.001;0.9969749;0.008613469214585527
7;0.996582;0.010204899740527979;0.001;0.99792165;0.0070763296757518634
8;0.996582;0.01118431284812905;0.001;0.9978062;0.007047609227161096
9;0.9983372;0.0058801532002928395;0.001;0.99942267;0.0016167862237692924
10;0.99898386;0.00577612248049322;0.001;0.99914557;0.0027366987978852024
11;0.9987067;0.004772608328017021;0.001;0.9987992;0.0037506027060697114
12;0.9988915;0.00507959287032898;0.001;0.9992148;0.002132095203954501
13;0.9995381;0.0016544547740813113;0.001;0.9995381;0.0014702936905192229
14;0.99944574;0.0013035144404385573;0.001;0.99956125;0.0016988174116102806
15;0.99944574;0.0013939661121611026;0.001;0.99979216;0.0006587021603610221
16;0.997321;0.015753291818597213;0.001;0.99891466;0.0032632753639177427
17;0.9987991;0.004315504479979775;0.001;0.9977831;0.009298440656735412
18;0.9990762;0.003262090318573867;0.001;0.9989839;0.003099684531885841
19;0.9995381;0.0017032123255832702;0.001;0.99951506;0.0014848236463067476
20;0.99972284;0.0014510630035136265;0.001;0.9996767;0.0009145868364698387
21;0.99972284;0.0008646442838164471;0.001;0.99956125;0.001617273727556127
22;0.99935335;0.0025948745474718322;0.001;0.9993996;0.0027069216709112516
23;0.9996305;0.0009854183094328652;0.001;0.99946886;0.0020114544153945505
24;0.9995381;0.0010214865688583984;0.001;0.9987761;0.0056998449573893665
25;0.99926096;0.002818701060626576;0.001;0.99942267;0.0020294670525006554
26;0.99935335;0.0022924097366198676;0.001;0.9997229;0.0012165885687292514
27;0.9978753;0.010031956653734433;0.001;0.99863756;0.0062277498654046675
28;0.9987067;0.005305161535423722;0.001;0.99928415;0.002115286647813675
29;0.9996305;0.0018664992122879613;0.001;0.99801403;0.009660966913618002
30;0.99796766;0.009070476938520857;0.001;0.9990532;0.0033919782242229214
31;0.9982448;0.004863756801110346;0.001;0.99923795;0.003625386040213843
32;0.9998152;0.0006146913800938657;0.001;0.9997691;0.0006165689768856438
33;0.9999076;0.0004703989261589239;0.001;0.9998153;0.0005673906246551748
34;0.9999076;0.00034162027976543814;0.001;0.9998614;0.00036078263210764924
35;0.9999076;0.0003586378238109094;0.001;0.9998614;0.0003409935861128819
36;0.9999076;0.00028579783680806497;0.001;0.99988455;0.0003747389603772342
37;0.9995381;0.001227931995044288;0.001;0.9984066;0.007329895888684861
38;0.99944574;0.0017201997421965555;0.001;0.99951506;0.0020125875829807927
39;0.9996305;0.0025551377677554415;0.001;0.9999076;0.00039626009242467116
40;0.9998152;0.0005138112800289241;0.001;0.9998614;0.000432750840085969
41;0.9999076;0.0003197493181474436;0.001;0.99988455;0.0005885119524791212
42;1.0;0.00010179578292134226;0.001;0.99979216;0.0007349917434455115
43;0.9999076;0.00024769718820141616;0.001;0.99965364;0.0009984062548458285
44;0.9998152;0.0006523844152714942;0.001;0.999492;0.0019420813235803977
45;0.9999076;0.00021477459026106202;0.001;0.99960744;0.0018527803800928273
46;1.0;0.00021893066284159364;0.001;0.99983835;0.0006078104601264907
47;1.0;6.718628274218511e-05;0.001;0.9999076;0.00046809684672626537
48;0.9999076;0.0015712904172985257;0.001;0.9999076;0.00042513807366408344
49;1.0;3.3115117510066745e-05;0.001;0.9998614;0.0005191157283496515
50;0.99944574;0.003911594556117329;0.001;0.9987299;0.004458235834225404
51;0.9988915;0.004336432905092597;0.001;0.99914557;0.0036615041270271678
52;0.9995381;0.0010588282272309159;0.001;0.99951506;0.00172406664558573
53;0.99972284;0.0005580763836467733;0.001;0.999492;0.001842422425260328
54;0.9995381;0.004177264640227124;0.001;0.99919176;0.0025374131514650723
55;0.99898386;0.0118451303634314;0.001;0.9993765;0.0031650658293608533
