epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.17041016;2.6226818561553955;0.001;0.3512195;2.366689696454097
1;0.3095703;2.246757209300995;0.001;0.38428184;1.8533637857824807
2;0.43652344;1.7545409202575684;0.001;0.6210298;1.22965992813834
3;0.59228516;1.2740452140569687;0.001;0.719458;0.9884365962772834
4;0.6972656;0.9614482372999191;0.001;0.8013008;0.6876096961362576
5;0.7836914;0.7153661251068115;0.001;0.8518157;0.5483576370060929
6;0.8496094;0.518736906349659;0.001;0.88585365;0.47156607864994987
7;0.89941406;0.35774121433496475;0.001;0.8892141;0.3525263358454717
8;0.93359375;0.23240221850574017;0.001;0.91447157;0.28218866398017906
9;0.9555664;0.1524534048512578;0.001;0.918916;0.24818494434925276
10;0.9741211;0.0832902507390827;0.001;0.93311656;0.23714414453381283
11;0.9824219;0.0667643416672945;0.001;0.93593496;0.22044384574623613
12;0.9824219;0.059542371425777674;0.001;0.93550134;0.2562936910510386
13;0.9838867;0.05721256835386157;0.001;0.93463415;0.24259742032805318
14;0.9873047;0.03643409116193652;0.001;0.93691057;0.29083040768538065
15;0.9824219;0.059799454640597105;0.001;0.92444444;0.28370195981431856
16;0.9848633;0.04850458074361086;0.001;0.9289973;0.23705774322152137
17;0.9921875;0.034405071404762566;0.001;0.93149054;0.26733386826062916
18;0.98828125;0.036617145873606205;0.001;0.94514906;0.22504839363944562
19;0.9916992;0.02736686053685844;0.001;0.94655824;0.22004631387508983
20;0.9926758;0.02370806271210313;0.001;0.94731706;0.21429873301730892
21;0.9946289;0.020506859349552542;0.001;0.94731706;0.22578905087620585
22;0.99658203;0.01447178708622232;0.001;0.9430894;0.2553341236327924
23;0.9946289;0.016747626301366836;0.001;0.9455826;0.24627783746637788
24;0.9941406;0.02106137783266604;0.001;0.94504064;0.22740948907081998
25;0.9970703;0.01282603433355689;0.001;0.94764227;0.22708277760159357
26;0.99658203;0.015130195824895054;0.001;0.95241195;0.21665010204037707
27;0.99658203;0.008063961897278205;0.001;0.9484011;0.2460996943308409
28;0.9951172;0.018440102343447506;0.001;0.9461247;0.24288227338495294
29;0.99609375;0.01548024540534243;0.001;0.94319785;0.2438212054919421
30;0.99316406;0.0162436519167386;0.001;0.9553388;0.1903259387458889
31;0.9980469;0.007349382154643536;0.001;0.95479673;0.21847683600495824
32;0.9975586;0.007683803414693102;0.001;0.9510027;0.2251770120907606
33;0.9970703;0.008052989112911746;0.001;0.9505691;0.23280823570077983
34;0.9975586;0.007315314753213897;0.001;0.9494851;0.2509482077941258
35;0.99902344;0.003916214787750505;0.001;0.9499187;0.2659718432393541
36;0.9980469;0.004939193619065918;0.001;0.9491599;0.27713282242821163
37;0.9970703;0.008911605254979804;0.001;0.9531707;0.24171916951655048
38;0.9975586;0.005586870764091145;0.001;0.9452574;0.28090308847445944
39;0.99609375;0.011412165549700148;0.001;0.94319785;0.2649990933245114
40;0.99853516;0.006408308370737359;0.001;0.94796747;0.26130909886140485
41;0.9970703;0.01041264953528298;0.001;0.9490515;0.23259209657594243
42;0.99853516;0.007281523401616141;0.001;0.95457995;0.20499380445092674
43;0.9970703;0.010489953710930422;0.001;0.94753385;0.28832983886000263
44;0.9970703;0.008242704177973792;0.001;0.9467751;0.24703702197749317
45;0.99658203;0.01092382165370509;0.001;0.95338756;0.2015479321396943
46;0.9970703;0.010201792028965428;0.001;0.9486179;0.2474608852424165
47;0.99853516;0.006786968442611396;0.001;0.94482386;0.25700988396719543
48;0.99853516;0.006776409165468067;0.001;0.9412466;0.2931524723162916
49;0.9995117;0.003003930702107027;0.001;0.9489431;0.2753196458247942
50;0.99853516;0.004659973536035977;0.001;0.95295393;0.2622220392327322
51;0.99609375;0.009049125535966596;0.001;0.94655824;0.2786036037071293
52;0.9975586;0.008825483193504624;0.001;0.9467751;0.2940950987914067
53;0.99853516;0.005659017428115476;0.001;0.9426558;0.29462736386891586
54;0.9951172;0.014552459499100223;0.001;0.93680215;0.3066273395996566
55;0.99560547;0.01195670705055818;0.001;0.9484011;0.23475936290825689
56;0.9980469;0.007922355260234326;0.00090000004;0.9512195;0.22139133996911647
57;0.9980469;0.010161191268707626;0.00090000004;0.9510027;0.24229387697404084
58;0.9975586;0.007424730603815988;0.00090000004;0.95371276;0.21376497340396167
59;0.9995117;0.0029500536038540304;0.00090000004;0.95208675;0.22354965359758747
60;0.9995117;0.0025874993116303813;0.00090000004;0.9525203;0.2400600122654341
61;0.99902344;0.004587482560964418;0.00090000004;0.95674795;0.24350763985135046
62;0.99902344;0.004788864323927555;0.00090000004;0.9588076;0.2279575457870257
63;0.9980469;0.004642018428967276;0.00090000004;0.95642275;0.24786338541888991
64;0.99853516;0.0058122874615946785;0.00090000004;0.9544715;0.27008843922746234
65;0.9975586;0.004640099552489119;0.00090000004;0.9497019;0.2805935763278951
66;0.9970703;0.009414550644578412;0.00090000004;0.9498103;0.24682595351927972
67;1.0;0.0026427859520481434;0.00090000004;0.9525203;0.23107134351885417
68;0.9980469;0.004030812538985629;0.00090000004;0.95371276;0.25943248399179986
69;0.9975586;0.008721641152078519;0.00090000004;0.9477507;0.2920036483909773
70;0.99609375;0.012753285627695732;0.00090000004;0.9412466;0.27574302940437073
71;0.9980469;0.008617824656539597;0.00090000004;0.9481843;0.25826523353595876
72;0.99902344;0.005229485250310972;0.00090000004;0.9515447;0.25943655555586803
73;0.99853516;0.005414756029495038;0.00090000004;0.94731706;0.2768731456558879
74;0.99853516;0.0043671439998433925;0.00090000004;0.95241195;0.2613694649337111
75;0.99902344;0.004005040827905759;0.00090000004;0.9493767;0.2722415353030693
76;0.9970703;0.006531208826345392;0.00090000004;0.9518699;0.26167966142937865
77;1.0;0.0016065392928794608;0.00090000004;0.9516531;0.2606201127292664
78;0.99902344;0.00325321751734009;0.00090000004;0.9516531;0.2608004481876446
79;1.0;0.0012440260252333246;0.00090000004;0.9528455;0.26071344934509333
80;0.9995117;0.0015563638480671216;0.00090000004;0.9534959;0.27020067155522703
81;0.9995117;0.002022276799834799;0.00090000004;0.9538211;0.27233443188631656
82;0.99902344;0.0015467155139958777;0.00090000004;0.95544714;0.2752314119481136
83;0.9995117;0.001316759703513526;0.00090000004;0.95479673;0.2955577056646993
84;0.9995117;0.004302277478927863;0.00090000004;0.9491599;0.30834423860560267
85;0.99902344;0.004197477210254874;0.00090000004;0.9518699;0.29031032150030783
86;0.99853516;0.002746255191595992;0.00090000004;0.9489431;0.29497746082945514
87;0.9980469;0.006279440007347148;0.00090000004;0.94406503;0.3231317346884306
88;0.9975586;0.007781097046972718;0.00081000006;0.94189703;0.2911777527093241
89;0.9995117;0.0018824652179318946;0.00081000006;0.9399458;0.326828890195707
90;0.9970703;0.0064504183901590295;0.00081000006;0.94569105;0.27152776859317046
91;0.9995117;0.002058785226836335;0.00081000006;0.95208675;0.25522280864256025
92;1.0;0.0011408431628296967;0.00081000006;0.9525203;0.2758827208374251
93;1.0;0.0010536201416471158;0.00081000006;0.95403796;0.28798262128338903
94;0.9995117;0.0016689718213456217;0.00081000006;0.9495935;0.2896248426669981
95;0.9995117;0.0013575957564171404;0.00081000006;0.9528455;0.2938520113465586
96;0.99902344;0.00267848142539151;0.00081000006;0.94720864;0.35084256504932393
97;0.99853516;0.004766733087308239;0.00081000006;0.9516531;0.277019044706815
98;0.99902344;0.005061858839326305;0.00081000006;0.95295393;0.24674866214192656
99;0.9995117;0.0020402972295414656;0.00081000006;0.9491599;0.2629482205902658
